contractnumber,startdate,enddate,laborerscount,contractversion,approvaldate,status_ar,ajeer_laborofficeid,ajeer_sequencenumber,establishment_laborofficeid,establishment_sequencenumber,time
1308000001,2013-08-29 00:00:00.000,2015-04-24 21:00:00.000,6,2,2014-12-06 12:55:46.477,منتهي,1,348291,10,53270,1377734400
1309000001,2013-09-26 00:00:00.000,2015-08-25 00:00:00.000,21,1,2013-09-26 13:33:50.370,منتهي,1,355270,1,245750,1380153600
1309000002,2013-09-26 00:00:00.000,2015-08-25 00:00:00.000,23,1,2013-09-26 13:34:00.140,منتهي,1,355270,1,245750,1380153600
1309000003,2013-09-26 00:00:00.000,2015-08-25 00:00:00.000,22,1,2013-09-26 13:34:09.097,منتهي,1,355270,1,245750,1380153600
1309000004,2013-09-26 00:00:00.000,2015-08-25 00:00:00.000,22,1,2013-09-26 13:34:20.490,منتهي,1,355270,1,245750,1380153600
1309000005,2013-09-26 00:00:00.000,2015-08-25 00:00:00.000,21,1,2013-09-26 13:34:35.893,منتهي,1,355270,1,245750,1380153600
1309000006,2013-09-26 00:00:00.000,2015-08-25 00:00:00.000,23,1,2013-09-26 13:34:48.503,منتهي,1,355270,1,245750,1380153600
1309000007,2013-09-26 00:00:00.000,2015-08-25 00:00:00.000,13,1,2013-09-26 13:35:03.027,منتهي,1,355270,1,245750,1380153600
1309000008,2013-09-29 00:00:00.000,2015-09-28 00:00:00.000,24,1,2013-09-29 15:05:51.133,منتهي,1,355270,1,335311,1380412800
1309000009,2013-09-29 00:00:00.000,2015-09-28 00:00:00.000,23,1,2013-09-29 15:06:29.990,منتهي,1,355270,1,335311,1380412800
1309000010,2013-09-29 00:00:00.000,2015-09-28 00:00:00.000,23,1,2013-09-29 15:06:45.480,منتهي,1,355270,1,335311,1380412800
1309000011,2013-09-29 00:00:00.000,2015-09-28 00:00:00.000,23,1,2013-09-29 15:07:09.567,منتهي,1,355270,1,335311,1380412800
1309000012,2013-09-29 00:00:00.000,2015-09-28 00:00:00.000,22,1,2013-09-29 15:07:50.720,منتهي,1,355270,1,335311,1380412800
1309000013,2013-09-29 00:00:00.000,2015-09-28 00:00:00.000,24,1,2013-09-29 15:08:06.280,منتهي,1,355270,1,335311,1380412800
1309000014,2013-09-29 00:00:00.000,2015-09-28 00:00:00.000,24,1,2013-09-29 15:08:22.307,منتهي,1,355270,1,335311,1380412800
1309000015,2013-09-29 00:00:00.000,2015-09-28 00:00:00.000,19,1,2013-09-29 15:08:34.137,منتهي,1,355270,1,335311,1380412800
1310000001,2013-10-27 00:00:00.000,2015-10-27 00:00:00.000,23,1,,منتهي,1,355270,1,220928,1382832000
1310000002,2013-10-27 00:00:00.000,2015-10-27 00:00:00.000,35,1,,منتهي,1,355270,1,220928,1382832000
1310000003,2013-10-27 00:00:00.000,2015-10-27 00:00:00.000,72,1,,منتهي,1,355270,9,143150,1382832000
1310000004,2013-10-27 00:00:00.000,2015-10-27 00:00:00.000,7,1,,منتهي,1,355270,9,152419,1382832000
1310000005,2013-10-30 00:00:00.000,2015-10-28 00:00:00.000,12,1,,منتهي,1,355270,1,14046,1383091200
1310000006,2013-10-31 00:00:00.000,2015-10-29 00:00:00.000,18,1,,منتهي,1,355270,1,245750,1383177600
1310000007,2013-10-31 00:00:00.000,2015-10-29 00:00:00.000,79,1,,منتهي,1,355270,9,126918,1383177600
1310000008,2013-10-31 00:00:00.000,2015-10-29 00:00:00.000,36,1,,منتهي,1,355270,1,6645,1383177600
1310000009,2013-10-31 00:00:00.000,2015-10-29 00:00:00.000,11,1,,منتهي,1,355270,1,335311,1383177600
1311000001,2013-11-05 00:00:00.000,2015-04-24 21:00:00.000,15,2,2015-01-03 00:00:00.367,منتهي,1,348291,9,80485,1383609600
1311000002,2013-11-05 00:00:00.000,2015-10-05 00:00:00.000,4,2,2014-12-08 00:00:01.080,منتهي,1,348301,1,153814,1383609600
1311000003,2013-11-05 00:00:00.000,2015-06-21 00:00:00.000,0,1,2013-11-05 17:04:48.330,منتهي,1,348301,1,167143,1383609600
1311000004,2013-11-06 00:00:00.000,2015-07-11 00:00:00.000,96,1,2013-11-06 10:12:29.373,منتهي,1,348301,16,3076,1383696000
1311000005,2013-11-06 00:00:00.000,2015-04-28 00:00:00.000,251,1,2013-11-22 10:39:31.237,منتهي,1,348301,1,1917,1383696000
1311000006,2013-11-06 00:00:00.000,2015-04-22 00:00:00.000,75,1,2013-12-11 20:31:01.240,منتهي,1,348301,1,40115,1383696000
1311000007,2013-11-06 00:00:00.000,2015-04-27 00:00:00.000,49,1,2013-11-06 10:42:20.807,منتهي,1,348301,1,40115,1383696000
1311000008,2013-11-06 00:00:00.000,2015-06-08 00:00:00.000,0,1,2013-11-06 10:45:08.333,منتهي,1,348301,1,40115,1383696000
1311000009,2013-11-06 00:00:00.000,2015-04-06 00:00:00.000,20,1,,منتهي,1,348301,1,40115,1383696000
1311000010,2013-11-06 00:00:00.000,2015-09-03 00:00:00.000,1,1,2013-11-06 12:15:33.153,منتهي,1,348301,1,21876,1383696000
1311000011,2013-11-06 00:00:00.000,2015-07-01 00:00:00.000,1,1,2013-11-06 12:21:56.940,منتهي,1,348301,1,31846,1383696000
1311000012,2013-11-06 00:00:00.000,2015-10-06 00:00:00.000,1,1,2014-03-01 19:58:27.010,منتهي,1,348301,1,302716,1383696000
1311000013,2013-11-06 00:00:00.000,2015-07-09 00:00:00.000,17,1,2013-12-29 12:20:55.747,منتهي,1,348301,1,283515,1383696000
1311000014,2013-11-06 00:00:00.000,2015-07-01 00:00:00.000,3,1,2014-01-12 08:40:25.193,منتهي,1,348301,1,3600,1383696000
1311000015,2013-11-06 00:00:00.000,2015-07-01 00:00:00.000,1,1,2013-11-06 16:22:16.410,منتهي,1,348301,1,7850,1383696000
1311000016,2013-11-07 00:00:00.000,2015-02-25 21:00:00.000,18,2,2015-01-03 00:00:00.367,منتهي,1,348291,1,2014,1383782400
1311000017,2013-11-07 00:00:00.000,2015-02-24 21:00:00.000,40,2,2015-01-03 00:00:00.367,منتهي,1,348291,9,154909,1383782400
1311000018,2013-11-07 00:00:00.000,2015-07-02 00:00:00.000,6,1,2013-11-07 11:26:08.280,منتهي,1,348291,1,142421,1383782400
1311000019,2013-11-07 00:00:00.000,2015-04-30 00:00:00.000,43,1,2013-11-07 11:34:02.303,منتهي,1,348291,1,142421,1383782400
1311000020,2013-11-07 00:00:00.000,2015-04-19 21:00:00.000,23,2,2015-01-03 00:00:00.367,منتهي,1,348291,9,117376,1383782400
1311000021,2013-11-07 00:00:00.000,2015-06-13 21:00:00.000,5,2,2015-01-03 00:00:00.367,منتهي,1,348291,9,80485,1383782400
1311000022,2013-11-07 00:00:00.000,2015-05-30 00:00:00.000,2,1,2013-11-07 11:49:54.957,منتهي,1,348291,1,172216,1383782400
1311000023,2013-11-07 00:00:00.000,2015-09-24 21:00:00.000,21,3,2015-06-12 00:00:02.580,منتهي,1,348291,13,36678,1383782400
1311000024,2013-11-07 00:00:00.000,2015-06-11 21:00:00.000,26,2,2015-01-03 00:00:00.367,منتهي,1,348291,1,11299,1383782400
1311000025,2013-11-07 00:00:00.000,2015-06-12 00:00:00.000,9,1,2013-11-07 12:01:50.270,منتهي,1,348291,1,192109,1383782400
1311000026,2013-11-07 00:00:00.000,2015-04-24 21:00:00.000,19,2,2015-01-03 00:00:00.367,منتهي,1,348291,1,97666,1383782400
1311000027,2013-11-07 00:00:00.000,2015-06-11 21:00:00.000,16,2,2015-01-03 00:00:00.367,منتهي,1,348291,9,9252,1383782400
1311000028,2013-11-07 00:00:00.000,2015-06-16 21:00:00.000,23,2,2015-01-03 00:00:00.367,منتهي,1,348291,1,92300,1383782400
1311000029,2013-11-07 00:00:00.000,2015-06-17 00:00:00.000,7,1,2013-12-10 08:20:26.970,منتهي,1,348291,1,227470,1383782400
1311000030,2013-11-07 00:00:00.000,2015-07-23 21:00:00.000,0,3,2015-01-08 00:00:00.727,منتهي,1,348291,1,98769,1383782400
1311000031,2013-11-07 00:00:00.000,2015-06-11 21:00:00.000,13,2,2015-01-03 00:00:00.367,منتهي,1,348291,1,8640,1383782400
1311000032,2013-11-07 00:00:00.000,2015-07-23 21:00:00.000,20,2,2014-12-19 00:00:00.600,منتهي,1,348291,3,65204,1383782400
1311000033,2013-11-07 00:00:00.000,2015-07-24 00:00:00.000,11,1,2013-11-07 12:47:12.017,منتهي,1,348291,4,97998,1383782400
1311000034,2013-11-07 00:00:00.000,2015-07-23 00:00:00.000,3,1,2013-11-07 12:49:16.277,منتهي,1,348291,1,271717,1383782400
1311000035,2014-01-21 00:00:00.000,2015-07-17 21:00:00.000,39,3,2015-01-03 00:00:00.367,منتهي,1,348291,9,159540,1390262400
1311000036,2013-11-07 00:00:00.000,2015-07-01 00:00:00.000,0,1,2013-11-07 13:26:17.347,منتهي,1,348291,1,52288,1383782400
1311000037,2013-11-07 00:00:00.000,2015-06-30 21:00:00.000,0,2,2015-01-03 00:00:00.367,منتهي,1,348291,1,118063,1383782400
1311000038,2013-11-07 00:00:00.000,2015-07-16 21:00:00.000,16,2,2015-01-03 00:00:00.367,منتهي,1,348291,10,100722,1383782400
1311000039,2013-11-07 00:00:00.000,2015-09-28 21:00:00.000,5,2,2015-01-03 00:00:00.367,منتهي,1,348291,1,207005,1383782400
